subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,ica,76.14910419902674,50.4991920057717,0.5386708109232505,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,chrom,76.14910419902674,63.60573970178245,0.3074038797144145,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,pos,76.14910419902674,75.80786108923331,0.3427047207185621,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,trace_v1,76.14910419902674,50.47105753170411,0.4555530589217025,True,0.8135282645607237,0.06927749119494646,0.11719424424432985
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,trace_v2,76.14910419902674,75.56816761475703,0.35001393777080975,True,0.29497513063913766,0.3439057614489157,0.3611191079119466
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,trace,76.14910419902674,75.56816761475703,0.35001393777080975,True,0.29497513063913766,0.3439057614489157,0.3611191079119466
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,pos_mask,76.14910419902674,75.3585229516548,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,pos_wiener,76.14910419902674,75.80758016977929,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,green,75.45908678144175,50.631222242455365,0.509826635226895,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,ica,75.45908678144175,50.592469205943324,0.46020404074327653,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,chrom,75.45908678144175,68.92036408995686,0.3384687463137728,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,pos,75.45908678144175,75.86758146766388,0.3682313127400065,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,trace_v1,75.45908678144175,50.56902060728608,0.39231305988716964,True,0.6741995545672657,0.09937756676880367,0.2264228786639307
